symbol,bucket,membership_count,membership_share_pct,avg_5b_return_pct,avg_10b_return_pct,avg_20b_return_pct
AMD,bottom,1358,8.367221195317313,0.1469883124741017,0.2792209142033506,0.5741019019784334
COP,bottom,1324,8.157732593961798,-0.0073542249500786,0.0015326671923870262,-0.050397781747479324
TSLA,bottom,1310,8.07147258163894,0.17359255066555487,0.2955387326198705,0.575363714629891
LLY,bottom,1278,7.8743068391866915,-0.02162667141157404,-0.012696053442803336,-0.03536289469124443
ABBV,bottom,1239,7.634011090573013,0.009466692398360451,0.05244109428767687,-0.0003370611573205094
HD,bottom,1212,7.467652495378927,0.03990091571513072,0.08059525595612077,0.10991693216700796
XOM,bottom,1195,7.362908194701171,-0.06661836646592979,-0.10251928950316531,-0.18159439037591732
HON,bottom,1109,6.833025261860752,-0.030989946160283038,-0.016816000402924736,0.05198326718100992
QCOM,bottom,1097,6.7590881084411585,0.0075790484704813055,0.025163188434169977,0.13659473505338404
GOOGL,bottom,1029,6.34011090573013,0.0923437810010133,0.17962837311951244,0.32439757360834515
MSFT,bottom,1004,6.1860751694393095,0.03274330990058105,0.05040408585383047,0.13963454873368825
WFC,bottom,916,5.6438693776956255,0.05129221187085749,0.13144616860833352,0.11167590031876454
BAC,bottom,786,4.842883548983364,0.0870755152759236,0.146093903710558,0.12245027515265776
C,bottom,739,4.553296364756624,0.19917574832576362,0.34085564085066256,0.6089629056268288
JPM,bottom,634,3.9063462723351816,0.08042274916497154,0.16069586526459395,0.2617999242624414
JPM,middle,1768,10.893407270486753,0.0704154055747985,0.08908264715018158,0.14750427377343725
BAC,middle,1461,9.00184842883549,0.0021120856405771036,-0.002790976581634747,0.0755667318548948
HON,middle,1350,8.317929759704251,0.003160142966241373,-0.03611296640459165,-0.10268975058709459
C,middle,1295,7.979051139864449,0.08959116225871054,0.13616402782286594,0.2551517020560146
MSFT,middle,1251,7.707948243992606,0.07524284283020584,0.1886376626418732,0.32843180709219366
HD,middle,1207,7.436845348120764,0.02435094848372612,0.06766129880052799,0.17431645530699133
WFC,middle,1200,7.393715341959335,-0.016846684434442215,-0.03132741762010317,0.10170333078429801
XOM,middle,1142,7.036352433764634,0.011930953561468071,0.0033568982218594706,-0.0035491885877462375
QCOM,middle,1023,6.303142329020332,0.051616113092855485,0.08849064802239988,0.11844381348172305
GOOGL,middle,926,5.705483672211953,0.08689379392163503,0.20854069306184206,0.3475926046895606
ABBV,middle,904,5.569932224276032,0.020434095764016082,0.027421360906103604,0.18571752340417091
COP,middle,856,5.2741836105976585,0.009297949206419555,0.019045531713135055,0.06353229988921573
LLY,middle,776,4.781269254467036,-0.146364310732607,-0.0741465694391972,0.02868553389520689
TSLA,middle,536,3.3025261860751693,-0.03652448078749182,0.049591664906484936,0.16066114910156976
AMD,middle,535,3.296364756623537,-0.013015983043254119,-0.07484285085808838,-0.01887530874927219
TSLA,top,1400,8.62600123228589,0.06376782446431256,0.13758829491331195,0.2325779005956731
AMD,top,1353,8.33641404805915,0.05816109423100908,0.14181917610590025,0.20608958790780257
GOOGL,top,1291,7.954405422057917,0.0455082688296589,0.06865544803996797,0.21180568890660992
C,top,1212,7.467652495378927,-0.04977728783839193,-0.024557435291330126,-0.004350776067334926
LLY,top,1192,7.344423906346273,0.12212444632661613,0.062443816213711194,-0.011909040885078498
WFC,top,1130,6.96241528034504,0.06253130887659807,0.09356003345528216,0.11843504634161829
QCOM,top,1126,6.937769562538509,0.0030680964482381144,0.0054793198410454155,-0.027761185293235284
ABBV,top,1103,6.796056685150955,0.033774743174636496,0.04426898903349752,0.08993878221645385
COP,top,1066,6.568083795440542,-0.031991449382163875,-0.08641204287885439,-0.13192845737507
BAC,top,999,6.155268022181146,0.05288673456449855,0.1356012245141829,0.2725052299489018
MSFT,top,991,6.105976586568083,0.03569809200259726,0.03612363173560808,0.08889947382603931
XOM,top,909,5.600739371534196,0.05302202559098558,0.09048042741161251,0.16859738518949383
JPM,top,844,5.200246457178066,-0.040713743376803405,0.019601995501320458,0.12884792327109304
HD,top,827,5.0955021565003085,-0.01995458107083428,-0.07059899899758952,-0.13602856003447816
HON,top,787,4.849044978434997,0.03874319758489406,0.08115799302333693,0.08305415421780249
