score_mode,window_idx,test_start,test_end,bucket,horizon_bars,observation_count,mean_return_pct,median_return_pct,std_return_pct,hit_rate_pct
trend_consistency_20,1,2026-03-13,2026-04-10,top_minus_bottom,5,520,0.09585059704146125,0.0675510887553421,0.5815063403244004,61.346153846153854
trend_consistency_20,1,2026-03-13,2026-04-10,top_minus_bottom,10,520,0.19079364239415977,0.17013857368465612,0.8942675079321873,63.26923076923077
trend_consistency_20,1,2026-03-13,2026-04-10,top_minus_bottom,20,520,0.2433886267796424,0.23871397194046073,1.1842613654929746,60.38461538461538
