score_mode,symbol,bucket,membership_count,membership_share_pct,avg_5b_return_pct,avg_10b_return_pct,avg_20b_return_pct
trend_consistency_20,LLY,bottom,711,0.0,-0.0396969825147936,-0.06084018135672271,-0.1003313918342934
trend_consistency_20,QCOM,bottom,693,0.0,0.02650341279679663,0.006153967356013573,-0.021601794589564745
trend_consistency_20,TSLA,bottom,688,0.0,-0.01800525591724275,-0.0477652850074718,-0.2920619601128249
trend_consistency_20,MSFT,bottom,680,0.0,-0.04483363997585582,-0.0856668868531955,-0.18621271312033896
trend_consistency_20,HD,bottom,608,0.0,0.04920165486282801,0.0927319503858747,0.10379271223631943
trend_consistency_20,XOM,bottom,554,0.0,-0.057150592355469806,-0.042546225192094146,0.10159112478875189
trend_consistency_20,AMD,bottom,513,0.0,0.12247785344211197,0.18731901069843784,0.3848858050906069
trend_consistency_20,GOOGL,bottom,507,0.0,-0.08300932585499554,-0.168894345167619,-0.4344844644760222
trend_consistency_20,COP,bottom,467,0.0,0.09881506535465816,0.18305367266528372,0.4068123286539555
trend_consistency_20,ABBV,bottom,464,0.0,-0.012692363857708527,-0.07944247192722922,-0.036931930204021204
trend_consistency_20,HON,bottom,457,0.0,0.07253668610206972,0.15063102383250135,0.3895861822467819
trend_consistency_20,WFC,bottom,438,0.0,-0.023194497647525108,-0.042309321779111606,-0.2124108333612004
trend_consistency_20,JPM,bottom,427,0.0,-0.15246723003570273,-0.24880649941391805,-0.2946598080404795
trend_consistency_20,C,bottom,330,0.0,0.08648292955486415,0.06447155181915248,-0.005625980544940788
trend_consistency_20,BAC,bottom,283,0.0,0.05492232602548812,0.038248319889580565,0.09405769624939338
trend_consistency_20,WFC,middle,752,0.0,0.02554294325362502,0.013140288538823474,0.043977502440277955
trend_consistency_20,C,middle,646,0.0,0.033714573039598676,0.0636012610310871,0.17678767885223248
trend_consistency_20,JPM,middle,611,0.0,0.11424422485960778,0.2014769587010056,0.26135330805390783
trend_consistency_20,BAC,middle,576,0.0,-0.027878943841086714,-0.044498773777725376,-0.20245214507726164
trend_consistency_20,GOOGL,middle,569,0.0,-0.003185418277947177,-0.002724046631458855,0.032408814308188615
trend_consistency_20,HON,middle,559,0.0,0.004972789730743742,0.0018856078140088578,-0.025167548003685408
trend_consistency_20,QCOM,middle,545,0.0,-0.08792079702059258,-0.1769141028515086,-0.5177787351686715
trend_consistency_20,HD,middle,539,0.0,-0.08697336814025414,-0.13396250052526784,-0.20515147687019836
trend_consistency_20,ABBV,middle,527,0.0,-0.006083362523441281,-0.017663512363086845,-0.3729805960585164
trend_consistency_20,AMD,middle,496,0.0,-0.017872861791696375,-0.006503171266635667,0.1451679823743754
trend_consistency_20,TSLA,middle,494,0.0,-0.09083080830855926,-0.20957332465620143,-0.3523230037031886
trend_consistency_20,MSFT,middle,446,0.0,-0.07142038776644975,-0.24119831251864168,-0.42695157167398645
trend_consistency_20,LLY,middle,429,0.0,-0.02169158488776698,-0.11200440369282523,-0.3004915051773022
trend_consistency_20,XOM,middle,329,0.0,0.08170013448375105,0.16334878342559656,0.46743829319150726
trend_consistency_20,COP,middle,302,0.0,0.05223214578326769,0.19038577364799328,0.3817317214818759
trend_consistency_20,COP,top,795,10.16624040920716,0.05298414352812785,0.09199806470441328,0.1767439646901595
trend_consistency_20,BAC,top,705,9.0153452685422,0.01889794975587906,0.05103022177552597,0.16796539539358432
trend_consistency_20,XOM,top,681,8.70843989769821,0.12366980370508943,0.19667560793005928,0.20311702415235441
trend_consistency_20,C,top,588,7.5191815856777495,0.031383041049802565,0.1023652666438052,0.15753987815864826
trend_consistency_20,ABBV,top,573,7.327365728900256,-0.03776455025684017,-0.03223285839578566,0.16686955078119778
trend_consistency_20,AMD,top,555,7.0971867007672635,0.042666618749138234,0.0738085990790982,-0.08934363367642163
trend_consistency_20,HON,top,548,7.007672634271101,0.025507039183855662,0.052374714371654287,0.05369777138399446
trend_consistency_20,JPM,top,526,6.726342710997442,0.012587045172682174,0.0003337465864557172,-0.024823139557233028
trend_consistency_20,GOOGL,top,488,6.240409207161125,0.05619655048977146,0.10731567705627752,0.28243278042879505
trend_consistency_20,MSFT,top,438,5.601023017902813,-0.04657321416267201,-0.001733830027012616,-0.05670031042577884
trend_consistency_20,LLY,top,424,5.421994884910486,-0.05756812908075651,-0.052949701392956204,0.01669891286277755
trend_consistency_20,HD,top,417,5.332480818414322,-0.06530186630908676,-0.18314339952050987,-0.368220323632259
trend_consistency_20,TSLA,top,382,4.884910485933504,-0.10962832201166244,-0.1750109910585868,-0.11478312981885107
trend_consistency_20,WFC,top,374,4.782608695652174,-0.048595526428864645,-0.036446987875894135,0.016702762885435027
trend_consistency_20,QCOM,top,326,4.168797953964194,-0.23016525920331735,-0.378936888353841,-0.46288422115143046
