bucket,horizon_bars,observation_count,mean_return_pct,median_return_pct,std_return_pct,hit_rate_pct
bottom,5,7805,-0.01472043896531244,0.004209994526993555,1.0439780616448695,50.237027546444594
middle,5,7805,0.010980354796215579,0.006155740227775652,0.9446276286661938,50.42921204356182
top,5,7805,-0.0020105651376244207,-0.0016607157684922491,0.9933064724371562,49.68609865470852
bottom,10,7780,-0.01979247750869149,0.0,1.4637808614380892,49.84575835475578
middle,10,7780,0.017653023985981012,0.04392999919157203,1.3064095003340184,52.120822622107966
top,10,7780,-0.016689489535364612,-0.0005121743851366212,1.387507818145497,49.8586118251928
bottom,20,7730,-0.03838773328797133,-0.03059397937769104,2.0577098611742826,49.3143596377749
middle,20,7730,-0.011562686025962693,0.022456214540900188,1.8403179737735027,50.64683053040103
top,20,7730,-0.0020150115734295982,0.054142831605852315,1.8627721387901268,51.4359637774903
top_minus_bottom,5,1561,0.012709873827688024,-0.010380227200479375,0.7146489605375443,48.75080076873799
top_minus_bottom,10,1556,0.0031029879733268776,-0.03678364670974821,0.9936232508473493,47.75064267352185
top_minus_bottom,20,1546,0.036372721714541735,-0.0073320494952164444,1.3567058647505903,49.87063389391979
