regime,start_date,end_date,strategy_mode,time_window_mode,regime_filter_enabled,threshold_mode,entry_threshold_pct,atr_multiple,atr_percentile_threshold,sma_bars,orb_filter_mode,breakout_exit_style,breakout_tight_stop_fraction,mean_reversion_exit_style,mean_reversion_max_atr_percentile,total_return_pct,max_drawdown_pct,total_trades,total_buy_candidates,skipped_trades,competing_timestamps,max_concurrent_positions,win_rate,avg_winning_trade,avg_losing_trade,expectancy,max_loss_trade,avg_return_per_trade_pct,avg_move_captured_pct,profit_factor,sharpe_ratio,trades_per_day,pnl_stability,realized_pnl,final_equity,final_cash,starting_capital,position_size,timing_load_seconds,timing_precompute_seconds,timing_model_load_seconds,timing_ml_precompute_seconds,timing_simulate_seconds,timing_finalize_seconds,timing_total_seconds
Custom,,,hybrid,full_day,False,static_pct,0.001,1.0,0.0,20,none,target_1x_stop_low,0.5,sma,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-06,0.0,10000.0,10000.0,10000.0,1000.0,0.008865399984642863,0.3142031999886967,0.000610999995842576,0.05535830001463182,0.5078875999897718,0.000661700003547594,0.8875967999920249
Custom,,,sma,full_day,False,static_pct,0.001,1.0,0.0,20,none,target_1x_stop_low,0.5,sma,0.0,-0.13393889968769146,0.813686962738655,128,64,0,5,3,31.25,10.966792716547593,-5.289312370448173,-0.20927953076199657,-42.40091542702601,-0.020927953076199657,-0.020927953076199657,0.9424487402370084,-0.44942066906913525,6.4,22.797436973975767,-13.39388996876778,9986.60611003123,9986.60611003123,10000.0,1000.0,0.10708810001960956,0.4946559000236448,6.999762263149023e-07,2.060001133941114e-05,0.6470585000060964,0.0005137999833095819,1.2493697000027169
Custom,,,ml,full_day,False,static_pct,0.001,1.0,0.0,20,none,target_1x_stop_low,0.5,sma,0.0,-0.25266846485465067,0.2554349079005078,2,1,0,0,1,0.0,0.0,-25.26684648546461,-25.26684648546461,-25.26684648546461,-2.5266846485464614,-2.5266846485464614,0.0,-3.6418618720013036,0.1,5.506781522604903,-25.26684648546461,9974.733153514535,9974.733153514535,10000.0,1000.0,0.011496300023281947,0.3261379999748897,2.341093800001545,0.06537400002707727,0.5139331000100356,0.0005064999859314412,3.258556699991459
