regime,start_date,end_date,strategy_mode,time_window_mode,regime_filter_enabled,threshold_mode,entry_threshold_pct,atr_multiple,atr_percentile_threshold,sma_bars,orb_filter_mode,breakout_exit_style,breakout_tight_stop_fraction,mean_reversion_exit_style,mean_reversion_max_atr_percentile,total_return_pct,max_drawdown_pct,total_trades,total_buy_candidates,skipped_trades,competing_timestamps,max_concurrent_positions,win_rate,avg_winning_trade,avg_losing_trade,expectancy,max_loss_trade,avg_return_per_trade_pct,avg_move_captured_pct,profit_factor,sharpe_ratio,trades_per_day,pnl_stability,realized_pnl,final_equity,final_cash,starting_capital,position_size,timing_load_seconds,timing_precompute_seconds,timing_model_load_seconds,timing_ml_precompute_seconds,timing_simulate_seconds,timing_finalize_seconds,timing_total_seconds
Custom,,,ml,full_day,False,static_pct,0.001,1.0,0.0,20,none,target_1x_stop_low,0.5,sma,0.0,2.312981959547142,2.4496673302546896,144,72,0,11,4,52.77777777777778,18.648377901606437,-14.039416597244958,3.2124749438155016,-50.921985815602966,0.32124749438155015,0.32124749438155015,1.484556325342618,1.4232131561208758,1.1612903225806452,21.085996830495866,231.2981959547161,10231.298195954714,10231.298195954714,10000.0,1000.0,0.043663599994033575,7.51808449998498,2.3143192999996245,0.6587670000153594,9.398693499999354,0.002799299982143566,19.936342999979388
Custom,,,hybrid,full_day,False,static_pct,0.001,1.0,0.0,20,none,target_1x_stop_low,0.5,sma,0.0,-0.3872787411846366,1.4015209071447317,56,28,0,1,2,46.42857142857143,11.70926439008496,-12.729887412638034,-1.3831383613737873,-35.736203559458204,-0.13831383613737874,-0.13831383613737874,0.7971813739686987,-0.58325569202167,0.45161290322580644,8.369337454961421,-38.72787411846605,9961.272125881536,9961.272125881536,10000.0,1000.0,0.04432659997837618,7.8386793000099715,0.0006156000017654151,0.6674649000051431,13.204966499994043,0.004355399985797703,21.760421199986013
Custom,,,sma,full_day,False,static_pct,0.001,1.0,0.0,20,none,target_1x_stop_low,0.5,sma,0.0,-1.9304639377790953,8.182614518832972,2848,1595,171,322,10,30.0561797752809,13.791330859386191,-6.120216869071486,-0.13556628776538657,-126.55640215573317,-0.013556628776538654,-0.013556628776538654,0.9683309129976443,-0.2863882534627098,22.967741935483872,71.83804704604226,-193.04639377791045,9806.95360622209,9806.95360622209,10000.0,1000.0,0.16552849998697639,7.863721000001533,8.00006091594696e-07,0.0001278999843634665,10.670511499978602,0.005106199998408556,18.70503369998187
